epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1412.28,1.31741,1.6473,0.0213,0.68374,0.64103,0.70358,0.44356,1.37471,1.39488,0.03137,0.0005941,0.0005941,0.0005941
43,1445.55,1.2898,1.65327,0.02096,0.73675,0.62942,0.72001,0.45391,1.31642,1.36492,0.02894,0.0005842,0.0005842,0.0005842
44,1479.77,1.27646,1.61518,0.0209,0.66457,0.6727,0.71637,0.45725,1.36077,1.35745,0.03015,0.0005743,0.0005743,0.0005743
45,1514.41,1.30013,1.61385,0.02102,0.67964,0.65542,0.70706,0.44857,1.36473,1.38604,0.03028,0.0005644,0.0005644,0.0005644
46,1547.56,1.30361,1.59791,0.0213,0.7639,0.63674,0.7169,0.45266,1.33583,1.37208,0.02951,0.0005545,0.0005545,0.0005545
47,1581.09,1.27606,1.58461,0.02057,0.72557,0.64588,0.7222,0.45689,1.36274,1.36181,0.03038,0.0005446,0.0005446,0.0005446
48,1614.84,1.27283,1.58071,0.02052,0.73235,0.65293,0.72564,0.47205,1.30706,1.34293,0.0286,0.0005347,0.0005347,0.0005347
49,1649.72,1.26719,1.54687,0.02059,0.76209,0.68113,0.73857,0.46366,1.37617,1.2913,0.03043,0.0005248,0.0005248,0.0005248
50,1682.22,1.25313,1.53899,0.02013,0.68792,0.69341,0.73066,0.46871,1.30839,1.33062,0.02864,0.0005149,0.0005149,0.0005149
51,1714.79,1.25413,1.53217,0.02064,0.69556,0.68155,0.73264,0.46045,1.38484,1.28952,0.03082,0.000505,0.000505,0.000505
52,1746.42,1.25252,1.52962,0.02014,0.70414,0.7047,0.7453,0.49247,1.28291,1.26712,0.02783,0.0004951,0.0004951,0.0004951
53,1779.09,1.24922,1.49835,0.02033,0.72377,0.68668,0.7395,0.4623,1.3815,1.32676,0.03062,0.0004852,0.0004852,0.0004852
54,1812.39,1.24946,1.50424,0.01998,0.75951,0.68526,0.76024,0.49264,1.30485,1.23482,0.02849,0.0004753,0.0004753,0.0004753
55,1846.16,1.2424,1.48472,0.01969,0.74015,0.68913,0.74931,0.48697,1.28727,1.27112,0.02812,0.0004654,0.0004654,0.0004654
56,1878.56,1.24949,1.50657,0.02019,0.79262,0.66334,0.75269,0.49205,1.31697,1.23893,0.02864,0.0004555,0.0004555,0.0004555
57,1911.07,1.23161,1.48454,0.01934,0.69107,0.69348,0.73948,0.48298,1.30955,1.24611,0.02926,0.0004456,0.0004456,0.0004456
58,1943.42,1.21139,1.45404,0.01927,0.76006,0.69115,0.76094,0.50544,1.27715,1.18069,0.02815,0.0004357,0.0004357,0.0004357
59,1976.55,1.22325,1.4667,0.01956,0.73803,0.68907,0.75552,0.48761,1.3237,1.2378,0.02939,0.0004258,0.0004258,0.0004258
60,2009.36,1.20871,1.43719,0.01932,0.76144,0.68518,0.75182,0.50819,1.24233,1.22621,0.0273,0.0004159,0.0004159,0.0004159
61,2043.45,1.19874,1.43039,0.01912,0.78944,0.70141,0.77284,0.50931,1.28056,1.18309,0.02812,0.000406,0.000406,0.000406
62,2076.45,1.23015,1.4309,0.01947,0.73174,0.69389,0.75296,0.50615,1.26849,1.20377,0.0276,0.0003961,0.0003961,0.0003961
63,2108.1,1.19004,1.41133,0.01869,0.78332,0.68963,0.76742,0.51383,1.24936,1.16713,0.02736,0.0003862,0.0003862,0.0003862
64,2139.97,1.1854,1.39752,0.01896,0.74474,0.73091,0.7738,0.52076,1.2432,1.16307,0.02686,0.0003763,0.0003763,0.0003763
65,2174.36,1.18961,1.38887,0.01866,0.81137,0.69574,0.78734,0.53507,1.20634,1.13034,0.02621,0.0003664,0.0003664,0.0003664
66,2208.62,1.16894,1.35296,0.01831,0.741,0.7217,0.78488,0.52387,1.24443,1.14272,0.02696,0.0003565,0.0003565,0.0003565
67,2240.93,1.19053,1.38844,0.01886,0.75574,0.72721,0.7847,0.52482,1.2473,1.1376,0.02714,0.0003466,0.0003466,0.0003466
68,2272.87,1.17333,1.36685,0.01831,0.77247,0.70793,0.78081,0.53004,1.22583,1.14556,0.02662,0.0003367,0.0003367,0.0003367
69,2304.53,1.16741,1.34954,0.01844,0.74623,0.72667,0.77335,0.52593,1.22402,1.12278,0.02668,0.0003268,0.0003268,0.0003268
70,2335.91,1.17931,1.35595,0.0189,0.76879,0.72336,0.77929,0.52781,1.23022,1.12168,0.02692,0.0003169,0.0003169,0.0003169
71,2367.43,1.18497,1.34939,0.01899,0.80708,0.7113,0.78819,0.53248,1.22668,1.13078,0.02672,0.000307,0.000307,0.000307
72,2399.33,1.17233,1.35946,0.01863,0.7863,0.71027,0.78284,0.53666,1.22514,1.10135,0.0268,0.0002971,0.0002971,0.0002971
73,2431.6,1.16361,1.35471,0.01887,0.81145,0.70408,0.78911,0.53703,1.22461,1.08944,0.02668,0.0002872,0.0002872,0.0002872
74,2463.19,1.15603,1.33696,0.01837,0.78569,0.73614,0.7936,0.54344,1.21993,1.07063,0.02655,0.0002773,0.0002773,0.0002773
75,2494.93,1.144,1.30547,0.01775,0.78249,0.73495,0.80295,0.54174,1.21997,1.05332,0.02647,0.0002674,0.0002674,0.0002674
76,2526.29,1.14907,1.31373,0.01798,0.80724,0.70625,0.7916,0.53815,1.21364,1.09154,0.02635,0.0002575,0.0002575,0.0002575
77,2558.72,1.13516,1.28952,0.01756,0.80572,0.73368,0.80664,0.55139,1.20307,1.06112,0.02614,0.0002476,0.0002476,0.0002476
78,2591.33,1.13669,1.2895,0.01778,0.75557,0.74917,0.79682,0.55147,1.19422,1.06558,0.02577,0.0002377,0.0002377,0.0002377
79,2624.07,1.13114,1.29146,0.01774,0.80751,0.7289,0.80523,0.55552,1.215,1.02838,0.02627,0.0002278,0.0002278,0.0002278
80,2656.16,1.13126,1.28167,0.01747,0.78742,0.74259,0.80625,0.55342,1.19605,1.04363,0.02576,0.0002179,0.0002179,0.0002179
81,2688.55,1.12777,1.2744,0.01773,0.80057,0.7206,0.79899,0.55294,1.19054,1.07558,0.02543,0.000208,0.000208,0.000208
82,2720.93,1.12882,1.24656,0.01765,0.79866,0.72338,0.80764,0.55156,1.21395,1.04703,0.02624,0.0001981,0.0001981,0.0001981
83,2753.69,1.11154,1.24709,0.01748,0.78553,0.7514,0.81179,0.55654,1.19105,1.03755,0.02566,0.0001882,0.0001882,0.0001882
84,2786.72,1.12611,1.27765,0.0177,0.78262,0.74094,0.8051,0.55646,1.17897,1.03489,0.02522,0.0001783,0.0001783,0.0001783
85,2820.63,1.11044,1.26492,0.01774,0.81282,0.74563,0.81337,0.56221,1.19117,1.03377,0.02541,0.0001684,0.0001684,0.0001684
86,2854.46,1.10858,1.24304,0.01744,0.81617,0.72695,0.80631,0.56528,1.17699,1.03854,0.02534,0.0001585,0.0001585,0.0001585
87,2887.55,1.12808,1.26075,0.01794,0.80988,0.75182,0.81161,0.56441,1.17656,1.02673,0.02526,0.0001486,0.0001486,0.0001486
88,2919.61,1.11574,1.25584,0.01749,0.78873,0.74602,0.80556,0.56348,1.16196,1.03515,0.0248,0.0001387,0.0001387,0.0001387
89,2951.74,1.10573,1.24053,0.01744,0.80967,0.74537,0.81489,0.56634,1.18069,1.00171,0.02553,0.0001288,0.0001288,0.0001288
90,2985.81,1.10873,1.23825,0.0174,0.81552,0.7318,0.81025,0.56578,1.17318,1.01815,0.02505,0.0001189,0.0001189,0.0001189
91,3019.3,1.18313,1.09105,0.02493,0.7697,0.72453,0.79005,0.54444,1.2156,1.09745,0.02647,0.000109,0.000109,0.000109
92,3049.93,1.13582,1.00521,0.02331,0.79609,0.72503,0.80436,0.55732,1.19725,1.03663,0.02574,9.91e-05,9.91e-05,9.91e-05
93,3080.23,1.12284,0.97898,0.02282,0.74608,0.75809,0.80562,0.55867,1.20967,1.0264,0.02605,8.92e-05,8.92e-05,8.92e-05
94,3110.61,1.08557,0.96014,0.02226,0.76487,0.74491,0.80379,0.55854,1.19111,1.01785,0.02553,7.93e-05,7.93e-05,7.93e-05
95,3140.75,1.08545,0.9453,0.02209,0.80787,0.74235,0.8119,0.56595,1.18966,1.00316,0.02555,6.94e-05,6.94e-05,6.94e-05
96,3171.65,1.06971,0.94934,0.02158,0.80356,0.73803,0.80857,0.56537,1.1748,1.01793,0.02512,5.95e-05,5.95e-05,5.95e-05
97,3201.92,1.07346,0.9323,0.02191,0.82784,0.72724,0.81035,0.56818,1.17334,1.00832,0.02515,4.96e-05,4.96e-05,4.96e-05
98,3232.96,1.07284,0.92781,0.02209,0.81434,0.72327,0.81173,0.56753,1.17513,1.00993,0.02515,3.97e-05,3.97e-05,3.97e-05
99,3263.54,1.05188,0.93587,0.02108,0.81141,0.73456,0.81131,0.56682,1.18187,1.00248,0.02528,2.98e-05,2.98e-05,2.98e-05
100,3294.08,1.06288,0.91709,0.02138,0.7841,0.74696,0.81063,0.56695,1.18144,1.00109,0.02532,1.99e-05,1.99e-05,1.99e-05
