epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1326.84,1.44037,2.08592,0.02419,0.60826,0.5193,0.5766,0.33633,1.49097,1.75226,0.03358,0.0005941,0.0005941,0.0005941
43,1357.66,1.40515,2.04674,0.02308,0.59258,0.54186,0.59097,0.35374,1.49071,1.71949,0.0334,0.0005842,0.0005842,0.0005842
44,1389.11,1.40141,2.00559,0.02292,0.59953,0.54909,0.60169,0.36041,1.47608,1.71693,0.033,0.0005743,0.0005743,0.0005743
45,1420.39,1.41913,2.00289,0.02355,0.6427,0.56251,0.6279,0.37351,1.46554,1.66293,0.03274,0.0005644,0.0005644,0.0005644
46,1452.48,1.4095,1.97018,0.02355,0.5991,0.57545,0.61042,0.36825,1.45921,1.67166,0.03219,0.0005545,0.0005545,0.0005545
47,1483.28,1.40923,1.98736,0.02256,0.60417,0.54865,0.59884,0.3593,1.44524,1.70537,0.03195,0.0005446,0.0005446,0.0005446
48,1513.94,1.39256,1.95877,0.02251,0.60915,0.55864,0.61389,0.37067,1.45863,1.63516,0.03263,0.0005347,0.0005347,0.0005347
49,1544.35,1.40432,1.94675,0.02299,0.65679,0.54992,0.62564,0.38319,1.44423,1.63602,0.0321,0.0005248,0.0005248,0.0005248
50,1576.05,1.39061,1.93148,0.02281,0.631,0.56799,0.62773,0.37808,1.44704,1.62496,0.03204,0.0005149,0.0005149,0.0005149
51,1607.07,1.39348,1.9378,0.02293,0.61671,0.58576,0.63095,0.3816,1.4498,1.6285,0.032,0.000505,0.000505,0.000505
52,1638.19,1.36825,1.88212,0.0219,0.63461,0.58707,0.64618,0.38566,1.47163,1.55878,0.03289,0.0004951,0.0004951,0.0004951
53,1669.96,1.38231,1.88212,0.02235,0.66658,0.55859,0.62649,0.37221,1.47149,1.6403,0.03286,0.0004852,0.0004852,0.0004852
54,1701.24,1.37193,1.84239,0.02215,0.68113,0.57096,0.63827,0.39296,1.46258,1.59631,0.03222,0.0004753,0.0004753,0.0004753
55,1732.71,1.35509,1.86249,0.02234,0.67309,0.58863,0.64942,0.39886,1.42032,1.58578,0.03159,0.0004654,0.0004654,0.0004654
56,1763.62,1.36778,1.84582,0.02202,0.70944,0.58153,0.65758,0.39218,1.44723,1.55808,0.03259,0.0004555,0.0004555,0.0004555
57,1794.62,1.36363,1.81284,0.02214,0.67952,0.58686,0.6554,0.40835,1.41202,1.5197,0.03121,0.0004456,0.0004456,0.0004456
58,1825.59,1.35341,1.85598,0.02164,0.63055,0.61034,0.66112,0.41402,1.39534,1.50182,0.03089,0.0004357,0.0004357,0.0004357
59,1856.8,1.35287,1.79948,0.02161,0.62961,0.61989,0.66624,0.40778,1.42138,1.5033,0.0317,0.0004258,0.0004258,0.0004258
60,1887.59,1.34666,1.795,0.02193,0.66294,0.60754,0.67518,0.42111,1.39026,1.47287,0.03036,0.0004159,0.0004159,0.0004159
61,1919.26,1.33568,1.7786,0.02162,0.65138,0.62803,0.67717,0.41637,1.42297,1.45217,0.03176,0.000406,0.000406,0.000406
62,1950.36,1.3247,1.77466,0.02116,0.66965,0.61854,0.67853,0.42274,1.39462,1.48803,0.03078,0.0003961,0.0003961,0.0003961
63,1982.33,1.32701,1.74992,0.02171,0.63404,0.63697,0.67518,0.42906,1.38875,1.44315,0.0304,0.0003862,0.0003862,0.0003862
64,2014.3,1.31698,1.75154,0.02139,0.65819,0.64065,0.68532,0.43149,1.36702,1.44067,0.02979,0.0003763,0.0003763,0.0003763
65,2046.15,1.32172,1.75871,0.02087,0.71873,0.59538,0.68656,0.43281,1.37182,1.45251,0.0302,0.0003664,0.0003664,0.0003664
66,2078.16,1.30757,1.72836,0.021,0.6597,0.6634,0.70366,0.44549,1.37055,1.38393,0.02991,0.0003565,0.0003565,0.0003565
67,2110.05,1.31011,1.73732,0.0212,0.67562,0.63392,0.69109,0.44258,1.34513,1.45625,0.02956,0.0003466,0.0003466,0.0003466
68,2141.13,1.31828,1.73188,0.02092,0.67462,0.64167,0.69317,0.44045,1.34125,1.41112,0.02942,0.0003367,0.0003367,0.0003367
69,2172.23,1.29187,1.71453,0.02083,0.7319,0.6101,0.69879,0.44146,1.35291,1.40234,0.02964,0.0003268,0.0003268,0.0003268
70,2203.37,1.28748,1.68843,0.02057,0.69686,0.64009,0.7012,0.44543,1.33595,1.38575,0.02933,0.0003169,0.0003169,0.0003169
71,2234.62,1.28424,1.6882,0.02033,0.70346,0.63941,0.70214,0.44751,1.35556,1.3651,0.02949,0.000307,0.000307,0.000307
