epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1562.81,0.96874,1.07218,0.0149,0.85537,0.79799,0.85625,0.63866,0.99262,0.84057,0.02109,0.0005941,0.0005941,0.0005941
43,1597.9,0.94874,1.05994,0.01463,0.8659,0.77948,0.84872,0.63095,1.01396,0.84588,0.02175,0.0005842,0.0005842,0.0005842
44,1633.24,0.95103,1.04756,0.01482,0.83559,0.77688,0.84955,0.62731,1.02218,0.85635,0.02206,0.0005743,0.0005743,0.0005743
45,1670.13,0.96316,1.04252,0.01496,0.83512,0.79895,0.86188,0.63729,1.02257,0.83603,0.02148,0.0005644,0.0005644,0.0005644
46,1706.19,0.96653,1.05271,0.01494,0.84978,0.78984,0.86318,0.64175,1.00181,0.8275,0.02092,0.0005545,0.0005545,0.0005545
47,1742.3,0.94822,1.0175,0.01464,0.85473,0.78503,0.86333,0.64476,0.97959,0.83292,0.02054,0.0005446,0.0005446,0.0005446
48,1777.84,0.93011,1.00214,0.01434,0.87053,0.78584,0.86924,0.64998,0.98284,0.78998,0.02054,0.0005347,0.0005347,0.0005347
49,1816.16,0.94211,1.01555,0.01465,0.85911,0.80247,0.87011,0.65714,0.97351,0.81121,0.02025,0.0005248,0.0005248,0.0005248
50,1852.05,0.92991,1.00373,0.01427,0.8667,0.78286,0.85952,0.64896,0.97844,0.81852,0.02023,0.0005149,0.0005149,0.0005149
51,1888,0.91498,0.98301,0.0143,0.88589,0.80684,0.87147,0.66042,0.95474,0.76594,0.01998,0.000505,0.000505,0.000505
52,1926.42,0.91628,0.97472,0.01406,0.86966,0.81558,0.88058,0.66014,0.97181,0.76087,0.02052,0.0004951,0.0004951,0.0004951
53,1962.24,0.91266,0.97059,0.01414,0.90506,0.79042,0.87544,0.64276,1.0079,0.78405,0.02142,0.0004852,0.0004852,0.0004852
54,1997.9,0.92529,0.96057,0.01401,0.85915,0.81271,0.87794,0.66645,0.96152,0.75423,0.0201,0.0004753,0.0004753,0.0004753
55,2034.45,0.91556,0.94602,0.0139,0.89048,0.7991,0.8756,0.66075,0.9779,0.75632,0.02059,0.0004654,0.0004654,0.0004654
56,2072.12,0.92184,0.95171,0.01425,0.91109,0.80337,0.88016,0.66224,0.96535,0.76496,0.02021,0.0004555,0.0004555,0.0004555
57,2107.8,0.91399,0.95621,0.0138,0.866,0.80979,0.8766,0.6604,0.95165,0.79165,0.02016,0.0004456,0.0004456,0.0004456
58,2143.67,0.89892,0.94743,0.01374,0.89439,0.8071,0.8741,0.66053,0.96022,0.76774,0.02011,0.0004357,0.0004357,0.0004357
59,2180.9,0.9028,0.93984,0.01377,0.88063,0.80022,0.87344,0.66194,0.94688,0.77147,0.01967,0.0004258,0.0004258,0.0004258
60,2217.13,0.89538,0.91718,0.01364,0.86867,0.81922,0.87733,0.66409,0.96162,0.76013,0.01992,0.0004159,0.0004159,0.0004159
61,2252.91,0.89089,0.92272,0.01352,0.90386,0.80962,0.88111,0.6688,0.95482,0.74859,0.01985,0.000406,0.000406,0.000406
62,2289.4,0.9084,0.90377,0.01375,0.88792,0.82693,0.88468,0.67756,0.93883,0.72883,0.0194,0.0003961,0.0003961,0.0003961
63,2327.13,0.89078,0.89379,0.01344,0.86828,0.83022,0.87884,0.67282,0.9431,0.74328,0.01942,0.0003862,0.0003862,0.0003862
64,2363.21,0.87701,0.8939,0.01349,0.90598,0.80487,0.8835,0.67626,0.93682,0.72749,0.01944,0.0003763,0.0003763,0.0003763
65,2398.83,0.88081,0.8897,0.01327,0.88617,0.8213,0.88603,0.67411,0.94456,0.71864,0.01971,0.0003664,0.0003664,0.0003664
66,2436.13,0.86556,0.87031,0.01297,0.90412,0.82667,0.89029,0.67706,0.94011,0.70267,0.01954,0.0003565,0.0003565,0.0003565
67,2473.06,0.87583,0.881,0.01327,0.87824,0.82202,0.88165,0.67799,0.93069,0.71383,0.01925,0.0003466,0.0003466,0.0003466
68,2509.05,0.85896,0.86046,0.01282,0.87873,0.81782,0.88191,0.6788,0.92278,0.71158,0.01905,0.0003367,0.0003367,0.0003367
69,2545.2,0.87802,0.88429,0.01318,0.8697,0.83095,0.88702,0.6797,0.9346,0.7153,0.01945,0.0003268,0.0003268,0.0003268
70,2583.26,0.8709,0.86974,0.01324,0.88542,0.82063,0.88829,0.69128,0.91072,0.68923,0.01888,0.0003169,0.0003169,0.0003169
71,2619.36,0.87179,0.85221,0.01334,0.8902,0.81624,0.88715,0.68246,0.92709,0.68636,0.0192,0.000307,0.000307,0.000307
72,2655.61,0.86442,0.85506,0.01321,0.90228,0.81444,0.88474,0.68532,0.91191,0.68657,0.0188,0.0002971,0.0002971,0.0002971
73,2694.11,0.84863,0.85399,0.01305,0.87095,0.84137,0.89038,0.68531,0.91957,0.69013,0.01916,0.0002872,0.0002872,0.0002872
74,2729.3,0.85921,0.85287,0.01297,0.90243,0.79729,0.88146,0.68027,0.91208,0.71511,0.01892,0.0002773,0.0002773,0.0002773
75,2765.21,0.82844,0.83944,0.01227,0.89529,0.81675,0.88917,0.6872,0.91815,0.69272,0.01896,0.0002674,0.0002674,0.0002674
76,2802,0.83345,0.83003,0.01249,0.90329,0.82078,0.88977,0.68609,0.91425,0.69271,0.019,0.0002575,0.0002575,0.0002575
77,2839.47,0.83438,0.82532,0.0123,0.91399,0.82333,0.89298,0.69086,0.91411,0.67424,0.01881,0.0002476,0.0002476,0.0002476
78,2875.75,0.84229,0.82393,0.01259,0.91232,0.8238,0.89047,0.69013,0.90279,0.69467,0.01844,0.0002377,0.0002377,0.0002377
