epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,4431.3,0.28233,0.60027,0.26203,0.82598,0.79159,0.84449,0.63286,0.29856,0.60396,0.39358,6.139e-05,6.139e-05,6.139e-05
41,4541.98,0.29018,0.60067,0.26462,0.82825,0.79089,0.84449,0.63852,0.29028,0.6129,0.36979,6.04e-05,6.04e-05,6.04e-05
42,4652.72,0.28701,0.58196,0.25615,0.82047,0.80405,0.84812,0.64045,0.29096,0.59532,0.38064,5.941e-05,5.941e-05,5.941e-05
43,4763.5,0.27975,0.57158,0.25671,0.83303,0.79076,0.84689,0.63508,0.29133,0.61344,0.37098,5.842e-05,5.842e-05,5.842e-05
44,4873.92,0.28149,0.58492,0.2524,0.87575,0.77796,0.85382,0.64206,0.29217,0.58748,0.37446,5.743e-05,5.743e-05,5.743e-05
45,4984.38,0.28503,0.55427,0.26012,0.83886,0.80575,0.84741,0.64496,0.29964,0.55845,0.38997,5.644e-05,5.644e-05,5.644e-05
46,5095.37,0.27663,0.56608,0.25292,0.85221,0.80756,0.85598,0.64683,0.28375,0.58059,0.3639,5.545e-05,5.545e-05,5.545e-05
47,5206.29,0.28134,0.56352,0.25617,0.86414,0.78752,0.85153,0.64136,0.29192,0.57377,0.38104,5.446e-05,5.446e-05,5.446e-05
48,5316.9,0.27759,0.55712,0.25636,0.84432,0.82001,0.8597,0.65193,0.28858,0.55204,0.37743,5.347e-05,5.347e-05,5.347e-05
49,5428.18,0.27514,0.5481,0.25126,0.83758,0.81402,0.86205,0.65449,0.30107,0.54063,0.39177,5.248e-05,5.248e-05,5.248e-05
50,5539.13,0.27448,0.55363,0.25209,0.84119,0.82269,0.85938,0.65253,0.29845,0.55251,0.39243,5.149e-05,5.149e-05,5.149e-05
51,5649.98,0.27259,0.54009,0.24457,0.85293,0.80911,0.86015,0.64443,0.30354,0.53858,0.39571,5.05e-05,5.05e-05,5.05e-05
52,5760.52,0.27217,0.53578,0.24937,0.84637,0.81888,0.86999,0.65864,0.29631,0.5369,0.38731,4.951e-05,4.951e-05,4.951e-05
53,5871.91,0.27241,0.54129,0.24585,0.85357,0.83307,0.86494,0.64738,0.30335,0.54355,0.40808,4.852e-05,4.852e-05,4.852e-05
54,5982.51,0.27262,0.53822,0.24717,0.86458,0.83287,0.87539,0.65953,0.29821,0.52971,0.39514,4.753e-05,4.753e-05,4.753e-05
55,6093.52,0.27305,0.52253,0.24507,0.85846,0.82561,0.87007,0.65247,0.2996,0.54201,0.39819,4.654e-05,4.654e-05,4.654e-05
56,6204.32,0.26563,0.51585,0.24298,0.83834,0.83968,0.86958,0.65327,0.3047,0.53098,0.41021,4.555e-05,4.555e-05,4.555e-05
57,6314.99,0.26879,0.51936,0.24486,0.85881,0.82788,0.87046,0.66237,0.29677,0.52595,0.39413,4.456e-05,4.456e-05,4.456e-05
58,6426.08,0.25976,0.51063,0.23484,0.84482,0.83088,0.87153,0.66488,0.29239,0.52936,0.37968,4.357e-05,4.357e-05,4.357e-05
59,6537.11,0.26337,0.51949,0.24289,0.86617,0.83152,0.87798,0.6623,0.29561,0.52478,0.39118,4.258e-05,4.258e-05,4.258e-05
60,6647.66,0.26083,0.50605,0.23316,0.85281,0.85318,0.87522,0.66161,0.30139,0.5263,0.40186,4.159e-05,4.159e-05,4.159e-05
61,6758.47,0.26219,0.50513,0.23761,0.87708,0.83124,0.87239,0.6597,0.29283,0.52444,0.38358,4.06e-05,4.06e-05,4.06e-05
62,6869.08,0.25897,0.5,0.23352,0.8496,0.8523,0.8754,0.66198,0.29962,0.51512,0.39513,3.961e-05,3.961e-05,3.961e-05
63,6979.63,0.26029,0.49407,0.23561,0.86946,0.83567,0.88339,0.67297,0.29166,0.50875,0.38395,3.862e-05,3.862e-05,3.862e-05
64,7090.9,0.26417,0.51665,0.24521,0.87275,0.8412,0.87403,0.66215,0.29998,0.50866,0.39715,3.763e-05,3.763e-05,3.763e-05
65,7201.77,0.26172,0.503,0.2316,0.86449,0.84828,0.87957,0.66476,0.29289,0.51789,0.38854,3.664e-05,3.664e-05,3.664e-05
66,7312.58,0.25993,0.50182,0.23015,0.86249,0.84409,0.87566,0.66137,0.29915,0.51334,0.39859,3.565e-05,3.565e-05,3.565e-05
67,7423.36,0.258,0.50464,0.23838,0.87652,0.83579,0.87832,0.66572,0.29347,0.51855,0.3867,3.466e-05,3.466e-05,3.466e-05
68,7534.67,0.26061,0.48623,0.23013,0.88298,0.84012,0.87995,0.66606,0.29972,0.4959,0.39826,3.367e-05,3.367e-05,3.367e-05
69,7645.9,0.25927,0.48876,0.23151,0.86372,0.84603,0.88032,0.6645,0.30031,0.5052,0.3996,3.268e-05,3.268e-05,3.268e-05
70,7757.23,0.25802,0.50154,0.23444,0.87262,0.85229,0.88306,0.6689,0.30204,0.50177,0.40353,3.169e-05,3.169e-05,3.169e-05
71,7867.99,0.256,0.48795,0.23344,0.85985,0.84903,0.8768,0.66814,0.29883,0.49306,0.39078,3.07e-05,3.07e-05,3.07e-05
72,7978.84,0.25318,0.49039,0.22684,0.87188,0.84668,0.88373,0.67463,0.29447,0.49662,0.3855,2.971e-05,2.971e-05,2.971e-05
73,8090.21,0.25184,0.47971,0.22832,0.87514,0.84408,0.88345,0.67453,0.30071,0.4923,0.39746,2.872e-05,2.872e-05,2.872e-05
74,8201.23,0.25093,0.47717,0.22812,0.86572,0.85766,0.88242,0.67238,0.30137,0.49029,0.40237,2.773e-05,2.773e-05,2.773e-05
75,8312.05,0.24851,0.4746,0.22152,0.8903,0.85043,0.88422,0.66814,0.30721,0.47809,0.41053,2.674e-05,2.674e-05,2.674e-05
