epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1027.12,3.0737,4.61857,0.06003,0.00077,0.11297,0.00039,7e-05,2.97367,4.83346,0.0783,0.000329365,0.000329365,0.0673929
2,1056.6,2.50358,4.18761,0.04745,0.00622,0.30274,0.0112,0.00283,2.38559,4.4613,0.05915,0.000656138,0.000656138,0.0343863
3,1085.59,2.29603,3.94802,0.04248,0.53571,0.06115,0.02683,0.00705,2.4799,4.616,0.06101,0.00097631,0.00097631,0.00137314
4,1115.17,2.16316,3.76922,0.03959,0.37025,0.06335,0.0443,0.01451,2.41294,4.29138,0.05894,0.0009703,0.0009703,0.0009703
5,1144.63,2.0359,3.66258,0.03583,0.36688,0.08724,0.04273,0.0126,2.361,3.99652,0.05784,0.0009604,0.0009604,0.0009604
6,1173.99,1.96586,3.51257,0.03441,0.29014,0.12663,0.10334,0.03389,2.04151,3.79733,0.0481,0.0009505,0.0009505,0.0009505
7,1204.12,1.86679,3.40504,0.03172,0.38332,0.15519,0.10659,0.03438,2.02399,3.56585,0.04822,0.0009406,0.0009406,0.0009406
8,1233.79,1.81654,3.28132,0.03085,0.32203,0.20823,0.15275,0.06036,1.98069,3.39507,0.04664,0.0009307,0.0009307,0.0009307
9,1264.29,1.77672,3.17342,0.02997,0.36848,0.20832,0.16488,0.06506,1.94896,3.19793,0.04523,0.0009208,0.0009208,0.0009208
10,1293.86,1.73926,3.06771,0.02903,0.39633,0.25815,0.23674,0.10354,1.86113,3.03286,0.04331,0.0009109,0.0009109,0.0009109
11,1324.68,1.72497,3.01259,0.02891,0.42225,0.26316,0.23737,0.10148,1.88902,2.96894,0.04494,0.000901,0.000901,0.000901
12,1355.07,1.70597,2.97552,0.02825,0.46128,0.2999,0.29875,0.13694,1.83367,2.84762,0.04294,0.0008911,0.0008911,0.0008911
13,1384.8,1.66724,2.89243,0.02826,0.45319,0.28456,0.27783,0.12428,1.86405,2.85346,0.04342,0.0008812,0.0008812,0.0008812
14,1414.26,1.66506,2.83272,0.02767,0.45182,0.32753,0.29942,0.14753,1.77785,2.79443,0.04058,0.0008713,0.0008713,0.0008713
15,1444.97,1.64338,2.81131,0.02776,0.50577,0.33958,0.35483,0.16972,1.8382,2.70598,0.04237,0.0008614,0.0008614,0.0008614
16,1475.44,1.63502,2.75358,0.02729,0.42911,0.3457,0.33669,0.17082,1.71905,2.61653,0.03933,0.0008515,0.0008515,0.0008515
17,1505.68,1.63384,2.74627,0.02743,0.4222,0.34688,0.33819,0.16569,1.7942,2.58597,0.04207,0.0008416,0.0008416,0.0008416
18,1534.84,1.61076,2.66249,0.02707,0.56305,0.34276,0.38115,0.20346,1.66821,2.48614,0.03809,0.0008317,0.0008317,0.0008317
19,1564.94,1.60024,2.6284,0.02668,0.44733,0.35246,0.36366,0.17099,1.84353,2.45679,0.04341,0.0008218,0.0008218,0.0008218
20,1594.18,1.59262,2.58804,0.02705,0.50765,0.39585,0.427,0.21486,1.75983,2.31247,0.04041,0.0008119,0.0008119,0.0008119
21,1623.79,1.57286,2.51663,0.02649,0.52083,0.40465,0.41028,0.21124,1.68728,2.39134,0.03857,0.000802,0.000802,0.000802
22,1652.96,1.5625,2.50677,0.02607,0.50599,0.42712,0.4239,0.22671,1.67558,2.34831,0.03791,0.0007921,0.0007921,0.0007921
23,1682.65,1.55028,2.46407,0.02557,0.51947,0.40131,0.43875,0.23494,1.67915,2.27192,0.03827,0.0007822,0.0007822,0.0007822
24,1713.41,1.5374,2.42099,0.02552,0.51697,0.42297,0.45507,0.24779,1.64602,2.26194,0.03717,0.0007723,0.0007723,0.0007723
25,1743.64,1.5469,2.41343,0.02558,0.46388,0.44523,0.4606,0.25433,1.69992,2.21369,0.03862,0.0007624,0.0007624,0.0007624
26,1773.61,1.51288,2.38981,0.02501,0.51523,0.42994,0.46842,0.25163,1.64373,2.17735,0.03685,0.0007525,0.0007525,0.0007525
27,1803.75,1.50889,2.35149,0.02496,0.52567,0.45923,0.47699,0.27082,1.59479,2.10014,0.03557,0.0007426,0.0007426,0.0007426
28,1835.09,1.51241,2.33885,0.02502,0.53816,0.4414,0.4883,0.2742,1.58522,2.0909,0.03541,0.0007327,0.0007327,0.0007327
29,1866.35,1.50114,2.34059,0.02488,0.51176,0.47362,0.48672,0.27832,1.60617,2.10404,0.03639,0.0007228,0.0007228,0.0007228
30,1896.78,1.50003,2.26734,0.02495,0.5684,0.47421,0.51627,0.29091,1.62616,2.00879,0.03667,0.0007129,0.0007129,0.0007129
31,1926.83,1.48845,2.26088,0.02467,0.53755,0.48932,0.51924,0.29404,1.60836,2.00194,0.03628,0.000703,0.000703,0.000703
32,1956.44,1.48833,2.26067,0.02427,0.52001,0.49221,0.51054,0.29097,1.61756,1.99863,0.03665,0.0006931,0.0006931,0.0006931
33,1986.47,1.4923,2.22682,0.0247,0.56661,0.50395,0.52572,0.30006,1.58708,1.95009,0.03559,0.0006832,0.0006832,0.0006832
34,2017.07,1.47597,2.19358,0.02442,0.55722,0.52204,0.55575,0.32223,1.57649,1.84588,0.03501,0.0006733,0.0006733,0.0006733
35,2047.63,1.45532,2.17564,0.02416,0.55295,0.51481,0.54439,0.32049,1.54506,1.92838,0.03441,0.0006634,0.0006634,0.0006634
36,2077.36,1.45243,2.11851,0.02381,0.60953,0.5191,0.57889,0.33996,1.55101,1.81351,0.03457,0.0006535,0.0006535,0.0006535
37,2107.48,1.44939,2.10994,0.02382,0.58626,0.53181,0.56626,0.31619,1.57796,1.95715,0.03574,0.0006436,0.0006436,0.0006436
38,2137.4,1.44789,2.09698,0.02363,0.59255,0.55105,0.60134,0.33658,1.58444,1.78005,0.03555,0.0006337,0.0006337,0.0006337
39,2167.23,1.44607,2.05879,0.02427,0.58116,0.54279,0.58713,0.35009,1.52756,1.75386,0.03435,0.0006238,0.0006238,0.0006238
40,2197.27,1.44204,2.05096,0.02374,0.58383,0.5726,0.59727,0.3481,1.51754,1.79693,0.03374,0.0006139,0.0006139,0.0006139
41,2226.75,1.41243,2.04867,0.02291,0.59581,0.54565,0.59315,0.36468,1.49822,1.68392,0.03365,0.000604,0.000604,0.000604
42,2258.1,1.4338,2.04752,0.02387,0.678,0.52316,0.59773,0.34601,1.5456,1.71003,0.03459,0.0005941,0.0005941,0.0005941
43,2288.35,1.40703,2.02269,0.02314,0.62195,0.59373,0.62841,0.37062,1.50095,1.7017,0.03327,0.0005842,0.0005842,0.0005842
44,2317.95,1.40112,1.98545,0.02297,0.67579,0.5295,0.61511,0.3622,1.52149,1.72393,0.03408,0.0005743,0.0005743,0.0005743
45,2348.07,1.41675,1.97644,0.0235,0.6299,0.53203,0.60817,0.36307,1.52808,1.64721,0.03419,0.0005644,0.0005644,0.0005644
46,2378.36,1.40961,1.96553,0.02346,0.69684,0.54265,0.63613,0.38103,1.46924,1.63263,0.03269,0.0005545,0.0005545,0.0005545
47,2408.76,1.40222,1.95963,0.02242,0.64488,0.55824,0.61936,0.36856,1.48402,1.67747,0.03284,0.0005446,0.0005446,0.0005446
48,2438.4,1.38499,1.91846,0.02237,0.66183,0.57346,0.64097,0.38634,1.48721,1.61778,0.03289,0.0005347,0.0005347,0.0005347
49,2467.81,1.41766,1.92906,0.02339,0.65702,0.5749,0.63465,0.37799,1.47906,1.6452,0.03278,0.0005248,0.0005248,0.0005248
50,2496.85,1.38682,1.90933,0.02268,0.63917,0.56768,0.61921,0.37289,1.48902,1.60907,0.03318,0.0005149,0.0005149,0.0005149
51,2526.01,1.38398,1.92023,0.02288,0.61514,0.58557,0.64713,0.39359,1.45314,1.56841,0.03188,0.000505,0.000505,0.000505
52,2555.34,1.36285,1.84593,0.02189,0.68409,0.57051,0.64826,0.39944,1.42669,1.55296,0.03136,0.0004951,0.0004951,0.0004951
53,2584.65,1.36994,1.86414,0.02223,0.65643,0.58059,0.65683,0.38636,1.51714,1.57362,0.03398,0.0004852,0.0004852,0.0004852
54,2613.71,1.36274,1.82741,0.02199,0.68566,0.59859,0.65944,0.40488,1.45626,1.5209,0.03227,0.0004753,0.0004753,0.0004753
55,2643.4,1.35396,1.83453,0.02215,0.64572,0.62539,0.67812,0.41044,1.46364,1.46941,0.03232,0.0004654,0.0004654,0.0004654
56,2673.22,1.35458,1.82506,0.02175,0.68678,0.61467,0.67865,0.41959,1.44303,1.52872,0.03233,0.0004555,0.0004555,0.0004555
57,2702.94,1.35935,1.80717,0.02215,0.64571,0.62994,0.66928,0.42391,1.40613,1.4918,0.03098,0.0004456,0.0004456,0.0004456
58,2732.61,1.35406,1.82292,0.02163,0.65972,0.64017,0.68385,0.42194,1.41947,1.4538,0.03138,0.0004357,0.0004357,0.0004357
59,2762.35,1.34161,1.779,0.02143,0.77659,0.58887,0.69292,0.42577,1.43506,1.46149,0.03165,0.0004258,0.0004258,0.0004258
60,2791.92,1.33874,1.76442,0.02171,0.72597,0.62251,0.69409,0.43169,1.42899,1.43817,0.03147,0.0004159,0.0004159,0.0004159
61,2821.85,1.33558,1.78251,0.02154,0.72577,0.60204,0.68787,0.43118,1.40315,1.43322,0.03097,0.000406,0.000406,0.000406
62,2850.9,1.31921,1.75814,0.02102,0.6744,0.62904,0.69308,0.43952,1.40879,1.41889,0.03093,0.0003961,0.0003961,0.0003961
63,2880.69,1.32685,1.73522,0.02177,0.74074,0.63609,0.70509,0.44433,1.38973,1.40791,0.03058,0.0003862,0.0003862,0.0003862
