epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,638.962,1.26189,1.69922,1.55717,0.66208,0.52773,0.61434,0.35463,1.46389,1.75654,1.79877,0.005743,0.005743,0.005743
45,653.924,1.22301,1.65348,1.52587,0.60144,0.55524,0.60054,0.37018,1.3694,1.6777,1.68479,0.005644,0.005644,0.005644
46,668.894,1.20552,1.63125,1.51756,0.66807,0.57275,0.632,0.38367,1.41654,1.60784,1.75865,0.005545,0.005545,0.005545
47,683.545,1.19457,1.61421,1.51532,0.63207,0.55303,0.6055,0.37482,1.40777,1.60681,1.73339,0.005446,0.005446,0.005446
48,697.571,1.22203,1.63033,1.52653,0.55899,0.42828,0.4531,0.23186,1.65132,2.32684,1.96413,0.005347,0.005347,0.005347
49,712.2,1.17994,1.58448,1.49627,0.69596,0.58602,0.65019,0.39024,1.35698,1.56254,1.67892,0.005248,0.005248,0.005248
50,726.687,1.18668,1.59782,1.51001,0.68679,0.57439,0.65872,0.39868,1.35858,1.61413,1.70879,0.005149,0.005149,0.005149
51,741.453,1.1865,1.57548,1.50648,0.7635,0.52804,0.64935,0.38313,1.40278,1.57724,1.69959,0.00505,0.00505,0.00505
52,755.726,1.20941,1.56588,1.52445,0.6335,0.57053,0.6191,0.37661,1.38761,1.6189,1.71594,0.004951,0.004951,0.004951
53,769.749,1.17919,1.57115,1.50052,0.64085,0.53605,0.59537,0.34065,1.43244,1.73458,1.80722,0.004852,0.004852,0.004852
54,784.081,1.16271,1.54607,1.47662,0.72249,0.58049,0.66702,0.41547,1.30385,1.45921,1.6483,0.004753,0.004753,0.004753
55,798.674,1.17121,1.53367,1.48531,0.66107,0.6185,0.67442,0.41504,1.30184,1.48798,1.63445,0.004654,0.004654,0.004654
