epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1432.71,1.14963,1.45689,1.48115,0.68242,0.57958,0.64183,0.39128,1.35101,1.5969,1.65789,0.005743,0.005743,0.005743
45,1463.01,1.12194,1.42096,1.4576,0.74278,0.6637,0.73356,0.48048,1.22642,1.32488,1.55889,0.005644,0.005644,0.005644
46,1494.28,1.13077,1.41438,1.46052,0.73608,0.61014,0.69894,0.45346,1.28097,1.40114,1.60931,0.005545,0.005545,0.005545
47,1525.79,1.12299,1.3797,1.45156,0.72478,0.63802,0.71864,0.47685,1.19397,1.3113,1.52407,0.005446,0.005446,0.005446
48,1558.42,1.10322,1.36214,1.44515,0.72237,0.63853,0.71203,0.47574,1.1929,1.39569,1.52157,0.005347,0.005347,0.005347
49,1590.49,1.12556,1.37951,1.46132,0.73582,0.69544,0.76152,0.50682,1.1858,1.23511,1.51058,0.005248,0.005248,0.005248
50,1622.47,1.10694,1.34831,1.44627,0.74835,0.66006,0.74149,0.50028,1.18122,1.24753,1.50244,0.005149,0.005149,0.005149
51,1653.56,1.09087,1.33374,1.42671,0.79378,0.67316,0.75398,0.5082,1.17474,1.26392,1.49709,0.00505,0.00505,0.00505
52,1685.04,1.09891,1.35451,1.44309,0.76406,0.68216,0.74742,0.48452,1.2273,1.28242,1.5442,0.004951,0.004951,0.004951
53,1715.41,1.11551,1.34198,1.44628,0.78588,0.66339,0.75968,0.51634,1.1835,1.20546,1.51506,0.004852,0.004852,0.004852
54,1747.02,1.09453,1.31414,1.4314,0.73556,0.70661,0.76725,0.51828,1.15232,1.19012,1.48636,0.004753,0.004753,0.004753
55,1778.19,1.0916,1.31217,1.42728,0.7512,0.69334,0.75284,0.51241,1.14824,1.2183,1.48685,0.004654,0.004654,0.004654
56,1810.24,1.0761,1.29345,1.42208,0.77112,0.69739,0.76562,0.52147,1.17091,1.17963,1.48732,0.004555,0.004555,0.004555
57,1841.48,1.05395,1.26297,1.40379,0.76519,0.69509,0.76169,0.52045,1.15796,1.16843,1.47589,0.004456,0.004456,0.004456
58,1872.51,1.07251,1.27092,1.41585,0.76316,0.70798,0.7648,0.52689,1.13364,1.16142,1.46705,0.004357,0.004357,0.004357
59,1903.87,1.0623,1.26454,1.4122,0.77711,0.7069,0.78174,0.53489,1.1408,1.1415,1.45602,0.004258,0.004258,0.004258
60,1935.14,1.04368,1.2435,1.39499,0.77993,0.73581,0.78718,0.54514,1.11659,1.11916,1.44509,0.004159,0.004159,0.004159
61,1966.83,1.06312,1.24953,1.41305,0.7729,0.71737,0.77499,0.5435,1.09733,1.12148,1.42328,0.00406,0.00406,0.00406
62,1998.02,1.04405,1.21662,1.39175,0.78245,0.72058,0.78322,0.53826,1.12776,1.11387,1.45893,0.003961,0.003961,0.003961
63,2028.97,1.01783,1.19181,1.37676,0.80216,0.69268,0.77519,0.5373,1.11069,1.15321,1.4396,0.003862,0.003862,0.003862
64,2059.52,1.04248,1.18748,1.39165,0.80842,0.72233,0.7879,0.53795,1.11721,1.04513,1.44823,0.003763,0.003763,0.003763
65,2091.45,1.03655,1.173,1.37842,0.79109,0.73767,0.79924,0.55382,1.09503,1.06917,1.43249,0.003664,0.003664,0.003664
