epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,350.815,3.05377,4.61152,0.05954,0.00144,0.129,0.00067,0.00014,3.02672,4.91891,0.07945,0.000329365,0.000329365,0.0673929
2,382.653,2.48146,4.18827,0.04701,0.0107,0.34877,0.00825,0.00208,2.37454,4.45814,0.05824,0.000656138,0.000656138,0.0343863
3,415.085,2.27652,3.96857,0.04202,0.52518,0.02602,0.01998,0.00549,2.45041,4.71346,0.05973,0.00097631,0.00097631,0.00137314
4,447.448,2.15073,3.78985,0.03915,0.44076,0.07772,0.04345,0.01306,2.18478,4.4646,0.05245,0.0009703,0.0009703,0.0009703
5,480.97,2.0511,3.68497,0.03596,0.34011,0.04355,0.04941,0.01536,2.18364,4.04599,0.05301,0.0009604,0.0009604,0.0009604
6,514.059,1.96921,3.54936,0.03457,0.3138,0.13598,0.08788,0.03058,2.09553,3.85161,0.04996,0.0009505,0.0009505,0.0009505
7,546.302,1.88009,3.46644,0.03218,0.31236,0.16641,0.11454,0.03964,2.06392,3.67174,0.0486,0.0009406,0.0009406,0.0009406
8,578.406,1.83843,3.31787,0.0313,0.34168,0.21683,0.17481,0.06711,1.94901,3.34442,0.04644,0.0009307,0.0009307,0.0009307
9,610.874,1.7954,3.2082,0.03048,0.37778,0.20874,0.18608,0.07856,1.88831,3.19746,0.04419,0.0009208,0.0009208,0.0009208
10,642.952,1.73079,3.1003,0.02877,0.39222,0.24763,0.21103,0.09571,1.86946,3.07447,0.04347,0.0009109,0.0009109,0.0009109
11,675.13,1.70498,3.0632,0.02839,0.4066,0.27844,0.23836,0.10612,1.78985,3.04662,0.04129,0.000901,0.000901,0.000901
12,707.322,1.68862,3.02187,0.02794,0.42219,0.30601,0.26935,0.1234,1.80017,2.9463,0.04168,0.0008911,0.0008911,0.0008911
13,739.109,1.64667,2.94343,0.02786,0.4238,0.27395,0.2633,0.11434,1.86804,2.86002,0.04379,0.0008812,0.0008812,0.0008812
14,770.606,1.6498,2.89064,0.02743,0.5365,0.32688,0.32766,0.14482,1.82768,2.85818,0.04274,0.0008713,0.0008713,0.0008713
15,802.69,1.63987,2.84944,0.02782,0.50036,0.31018,0.30956,0.15109,1.78657,2.72461,0.04157,0.0008614,0.0008614,0.0008614
16,835.219,1.63875,2.77492,0.02747,0.34341,0.32546,0.31633,0.16461,1.70797,2.60929,0.03925,0.0008515,0.0008515,0.0008515
17,867.614,1.62556,2.74339,0.02716,0.48665,0.34988,0.35014,0.15976,1.77793,2.54831,0.04127,0.0008416,0.0008416,0.0008416
18,899.405,1.59721,2.67344,0.02661,0.44802,0.37118,0.37488,0.18138,1.7107,2.52561,0.03975,0.0008317,0.0008317,0.0008317
19,931.85,1.59798,2.64772,0.02657,0.45533,0.38869,0.37312,0.18253,1.75235,2.43495,0.0401,0.0008218,0.0008218,0.0008218
20,964.245,1.59283,2.60342,0.02704,0.46847,0.38399,0.38499,0.19197,1.69858,2.44342,0.03914,0.0008119,0.0008119,0.0008119
21,996.557,1.56339,2.54856,0.02641,0.45745,0.4061,0.41754,0.20297,1.68759,2.42192,0.03907,0.000802,0.000802,0.000802
22,1028.37,1.54851,2.52333,0.02588,0.49251,0.40413,0.42324,0.2083,1.68933,2.37165,0.03856,0.0007921,0.0007921,0.0007921
23,1060.8,1.55584,2.48231,0.02565,0.48209,0.44757,0.43743,0.22823,1.70472,2.21077,0.03883,0.0007822,0.0007822,0.0007822
24,1092.87,1.51326,2.4379,0.02505,0.49076,0.41481,0.42489,0.22311,1.68293,2.26816,0.03866,0.0007723,0.0007723,0.0007723
25,1124.22,1.55515,2.42804,0.02571,0.505,0.46878,0.47139,0.24424,1.68723,2.17011,0.03882,0.0007624,0.0007624,0.0007624
26,1156.34,1.52263,2.38824,0.02508,0.56446,0.45234,0.49697,0.27414,1.60624,2.08457,0.03627,0.0007525,0.0007525,0.0007525
27,1189.7,1.49741,2.34927,0.02462,0.49712,0.45474,0.47988,0.25694,1.65136,2.12936,0.03765,0.0007426,0.0007426,0.0007426
28,1222.59,1.5159,2.35469,0.02505,0.53965,0.44894,0.49549,0.26423,1.64685,2.08603,0.03796,0.0007327,0.0007327,0.0007327
29,1254.57,1.50072,2.33596,0.02499,0.47841,0.46373,0.48779,0.2689,1.58622,2.12625,0.0357,0.0007228,0.0007228,0.0007228
30,1286.69,1.48437,2.28485,0.02458,0.51367,0.47541,0.50209,0.26635,1.62958,2.04673,0.03726,0.0007129,0.0007129,0.0007129
31,1318.84,1.49887,2.27323,0.02491,0.56125,0.47158,0.51651,0.28538,1.61713,1.95515,0.03692,0.000703,0.000703,0.000703
32,1351.48,1.49771,2.25961,0.0244,0.52937,0.50094,0.52402,0.29458,1.57025,1.91379,0.03513,0.0006931,0.0006931,0.0006931
33,1383.36,1.48393,2.21067,0.02453,0.54346,0.4763,0.51294,0.29437,1.58441,2.00241,0.03576,0.0006832,0.0006832,0.0006832
34,1415.37,1.47419,2.21593,0.0244,0.56614,0.50356,0.54187,0.31445,1.52644,1.90021,0.03407,0.0006733,0.0006733,0.0006733
