epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9444,3.07666,4.60272,0.06004,0.00017,0.07461,0.00014,3e-05,3.04533,4.97677,0.08081,0.000329365,0.000329365,0.0673929
2,64.5319,2.51917,4.17146,0.04789,0.01028,0.2499,0.00828,0.00174,2.49808,4.6156,0.06085,0.000656138,0.000656138,0.0343863
3,96.2793,2.28673,3.9689,0.04233,0.67982,0.04,0.01412,0.0033,2.71163,5.0087,0.06563,0.00097631,0.00097631,0.00137314
4,128.419,2.16192,3.82589,0.03934,0.50167,0.06227,0.04146,0.01224,2.16593,4.1606,0.05085,0.0009703,0.0009703,0.0009703
5,160.818,2.05815,3.724,0.03594,0.58459,0.07823,0.06218,0.01757,2.18746,3.9074,0.05249,0.0009604,0.0009604,0.0009604
6,192.778,1.9688,3.56824,0.0343,0.35288,0.12685,0.08432,0.03057,2.12975,4.02226,0.05043,0.0009505,0.0009505,0.0009505
7,224.557,1.86614,3.43477,0.03161,0.43521,0.13648,0.11405,0.03694,2.08239,3.61205,0.04912,0.0009406,0.0009406,0.0009406
8,257.409,1.79485,3.33954,0.03016,0.3293,0.19297,0.14866,0.06208,1.8715,3.39219,0.04308,0.0009307,0.0009307,0.0009307
9,292.183,1.76977,3.24719,0.02964,0.38722,0.21784,0.1908,0.07749,1.91461,3.26618,0.04441,0.0009208,0.0009208,0.0009208
10,325.716,1.72143,3.13099,0.02851,0.37181,0.23659,0.19228,0.08252,1.82828,3.22833,0.04226,0.0009109,0.0009109,0.0009109
11,359.091,1.69119,3.11226,0.02793,0.45015,0.26922,0.23262,0.09953,1.79182,3.13561,0.04103,0.000901,0.000901,0.000901
12,392.808,1.69691,3.06906,0.02772,0.44034,0.24665,0.2418,0.10867,1.76596,2.9793,0.04016,0.0008911,0.0008911,0.0008911
13,426.706,1.65858,2.96745,0.02791,0.4479,0.29186,0.27772,0.12482,1.78164,2.93385,0.04128,0.0008812,0.0008812,0.0008812
14,461.376,1.65638,2.91739,0.02727,0.47897,0.29186,0.29628,0.14497,1.77351,2.82643,0.04062,0.0008713,0.0008713,0.0008713
15,494.374,1.63449,2.88917,0.02758,0.37434,0.31246,0.31457,0.1464,1.79952,2.78944,0.04191,0.0008614,0.0008614,0.0008614
16,527.203,1.635,2.8143,0.02724,0.47178,0.30964,0.30161,0.15058,1.73695,2.73841,0.04034,0.0008515,0.0008515,0.0008515
17,559.9,1.61862,2.7979,0.02696,0.45718,0.34327,0.33855,0.17054,1.67623,2.69821,0.03871,0.0008416,0.0008416,0.0008416
18,592.64,1.59187,2.73344,0.02659,0.61683,0.32483,0.34245,0.16433,1.75055,2.66305,0.04108,0.0008317,0.0008317,0.0008317
19,624.888,1.58656,2.71155,0.02632,0.49743,0.34539,0.34349,0.17629,1.68889,2.52732,0.03838,0.0008218,0.0008218,0.0008218
20,657.702,1.57887,2.66397,0.02671,0.44533,0.34757,0.35576,0.17892,1.74321,2.54498,0.04026,0.0008119,0.0008119,0.0008119
21,690.702,1.56191,2.59451,0.02619,0.45678,0.40444,0.39499,0.20539,1.65197,2.44363,0.03777,0.000802,0.000802,0.000802
22,724.507,1.57013,2.57103,0.02605,0.44595,0.41039,0.40024,0.21232,1.68524,2.43585,0.03875,0.0007921,0.0007921,0.0007921
23,757.069,1.54889,2.53061,0.02552,0.4982,0.39988,0.43172,0.23344,1.68546,2.30075,0.03844,0.0007822,0.0007822,0.0007822
24,789.484,1.53168,2.48315,0.02534,0.50748,0.39696,0.42848,0.21932,1.72993,2.33225,0.03953,0.0007723,0.0007723,0.0007723
25,821.758,1.54908,2.48837,0.02559,0.5104,0.41996,0.44887,0.23816,1.66657,2.26597,0.03807,0.0007624,0.0007624,0.0007624
